epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2316.81,0.53085,0.3419,0.86932,0.99325,0.97137,0.99029,0.84451,0.70051,0.3181,0.88888,0.000650909,0.000650909,0.000650909
57,2357.55,0.5215,0.33287,0.86982,0.98128,0.97838,0.9918,0.8389,0.70493,0.31175,0.89572,0.000636762,0.000636762,0.000636762
58,2399.51,0.51779,0.33464,0.8718,0.98817,0.97621,0.99322,0.83351,0.7124,0.32117,0.89659,0.000622615,0.000622615,0.000622615
59,2441.13,0.50636,0.32588,0.86809,0.99485,0.97772,0.9938,0.84231,0.69825,0.30634,0.89568,0.000608468,0.000608468,0.000608468
60,2482.86,0.52643,0.33178,0.87054,0.99716,0.96524,0.99242,0.84434,0.68764,0.31109,0.88929,0.000594321,0.000594321,0.000594321
61,2524.76,0.51118,0.32884,0.86545,0.97922,0.96856,0.99204,0.84869,0.68096,0.31821,0.88517,0.000580174,0.000580174,0.000580174
62,2566.95,0.50697,0.32727,0.86926,0.9854,0.96964,0.99121,0.83914,0.68199,0.31937,0.88942,0.000566027,0.000566027,0.000566027
63,2608.66,0.50077,0.32236,0.86523,0.98678,0.96707,0.99063,0.84546,0.66891,0.31946,0.88479,0.00055188,0.00055188,0.00055188
64,2650.09,0.49486,0.32462,0.86329,0.97345,0.97533,0.98972,0.84457,0.67796,0.32214,0.88424,0.000537733,0.000537733,0.000537733
65,2691.19,0.49621,0.32795,0.86583,0.98664,0.96911,0.99095,0.84562,0.67913,0.31322,0.88612,0.000523586,0.000523586,0.000523586
66,2731.57,0.50028,0.3218,0.861,0.98127,0.97115,0.99196,0.84611,0.67966,0.30739,0.89367,0.000509438,0.000509438,0.000509438
67,2772.25,0.49128,0.32114,0.86135,0.98557,0.97255,0.98987,0.84764,0.67193,0.30493,0.88486,0.000495291,0.000495291,0.000495291
68,2813.75,0.50339,0.32186,0.8575,0.97921,0.97221,0.99138,0.8471,0.68186,0.31241,0.88589,0.000481144,0.000481144,0.000481144
69,2855.1,0.4857,0.31433,0.85976,0.97732,0.98224,0.98941,0.84612,0.67472,0.30398,0.88864,0.000466997,0.000466997,0.000466997
70,2896.6,0.48911,0.31131,0.85844,0.98959,0.96722,0.99317,0.84663,0.6765,0.29829,0.88536,0.00045285,0.00045285,0.00045285
71,2937.89,0.48106,0.31251,0.85745,0.98457,0.95417,0.98979,0.84772,0.67359,0.30698,0.88848,0.000438703,0.000438703,0.000438703
72,2979.18,0.4813,0.30331,0.85995,0.97349,0.97224,0.98805,0.84015,0.6923,0.33251,0.90068,0.000424556,0.000424556,0.000424556
73,3020.52,0.49108,0.31272,0.86158,0.98589,0.96604,0.98894,0.84629,0.68801,0.31914,0.89224,0.000410409,0.000410409,0.000410409
74,3061.31,0.48129,0.30523,0.86138,0.97926,0.95327,0.98684,0.84104,0.68803,0.32656,0.89187,0.000396262,0.000396262,0.000396262
75,3101.63,0.47282,0.30515,0.8624,0.98821,0.96124,0.9899,0.85066,0.68425,0.31164,0.88972,0.000382115,0.000382115,0.000382115
76,3142.63,0.4773,0.30593,0.85599,0.98461,0.96961,0.98959,0.84373,0.69168,0.3122,0.88817,0.000367967,0.000367967,0.000367967
77,3184.42,0.4699,0.29553,0.85288,0.98849,0.95112,0.99184,0.8479,0.68699,0.31088,0.88672,0.00035382,0.00035382,0.00035382
